            segments_date domain     brand channel_type total_spend_eur currency
2025-01-27 00:00:00+00:00     hu   FlixBus     nonbrand      2803335144      EUR
2025-01-28 00:00:00+00:00     br   FlixBus     nonbrand      2857469193      BRL
2025-01-28 00:00:00+00:00     de FlixTrain        mixed      5078392336      EUR
2025-01-28 00:00:00+00:00     hu   FlixBus     nonbrand      2619566915      EUR
2025-01-29 00:00:00+00:00     br   FlixBus     nonbrand      2654076882      BRL
2025-01-29 00:00:00+00:00     de FlixTrain        mixed      5410222585      EUR
2025-01-29 00:00:00+00:00     hu   FlixBus     nonbrand      2811145887      EUR
2025-01-30 00:00:00+00:00     br   FlixBus     nonbrand      2777281026      BRL
2025-01-30 00:00:00+00:00     de FlixTrain        mixed      5336909676      EUR
2025-01-30 00:00:00+00:00     hu   FlixBus     nonbrand      2852391248      EUR
2025-01-31 00:00:00+00:00     br   FlixBus     nonbrand      2785165944      BRL
2025-01-31 00:00:00+00:00     de FlixTrain        mixed      5357384969      EUR
2025-01-31 00:00:00+00:00     hu   FlixBus     nonbrand      2836423776      EUR
