CURRENCY,BASE,VALID_FROM,VALID_TO,RATE
MXN,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,21.8876
NOK,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,11.3435
HUF,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,400.9800
MKD,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,61.6450
GBP,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,0.8332
BAM,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,1.9606
RSD,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,117.2000
RUB,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,117.2010
SEK,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,10.8235
DKK,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,7.4605
CAD,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,1.5425
BGN,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,1.9558
BRL,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,6.2154
CLP,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,1008.6000
INR,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,92.4620
USD,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,1.0785
CZK,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,24.9820
PLN,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,4.1968
PEN,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,3.9350
TRY,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,40.9940
RON,EUR,2025-03-28 00:00:01.000 +0100,2025-03-29 00:00:01.000 +0100,4.9773
GBP,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,0.8362
RUB,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,117.2010
CZK,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,24.9340
CLP,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,996.6650
PLN,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,4.1755
BRL,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,6.1770
RON,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,4.9763
DKK,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,7.4605
BAM,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,1.9609
CAD,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,1.5387
INR,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,92.4014
ALL,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,98.9300
RSD,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,117.2050
UAH,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,44.8274
HUF,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,400.8300
BGN,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,1.9558
MXN,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,21.6498
PEN,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,3.9260
SEK,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,10.8395
USD,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,1.0788
NOK,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,11.3585
HRK,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,7.5345
CHF,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,0.9532
TRY,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,41.0041
MKD,EUR,2025-03-27 00:00:01.000 +0100,2025-03-28 00:00:01.000 +0100,61.5400
MXN,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,21.6540
CHF,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,0.9539
SEK,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,10.7975
GBP,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,0.8357
RUB,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,117.2010
NOK,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,11.3090
RSD,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,117.2200
INR,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,92.7728
HRK,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,7.5345
